language,real_value,language_family,simulated_mean,simulated_sd,zscore
Kagulu,0.81128,Atlantic-Congo,0.22460327,0.05244346672378847,11.186841119599025
Kaiwá,0,Tupian,0,0,NA
Kala_Lagaw_Ya,7.3e-4,Pama-Nyungan,0.04505304,0.03599029772158725,-1.2315274617307406
Kalam,1.58219,Nuclear Trans New Guinea,0.57968857,0.11161481616722371,8.981795288701019
Kalamang,1.58219,Other,0.90528493,0.09434165621660875,7.1750390776034685
Kalinga_(Ahin-Kayapa_Kalanguya),0.88654,Austronesian,0.10714162,0.05151070475814013,15.130804046644949
Kalkatungu,1.12581,Pama-Nyungan,0.25014286,0.09459792340073926,9.256726876450196
Kamang,1.68738,Other,0.95343179,0.12077343226735562,6.077066754013102
Kamano,1.18639,Other,0.2061562,0.07496863445676673,13.075252165160965
Kamayurá,0.9183,Tupian,0.42255261,0.0384617415290747,12.889364087303369
Kamba,0.9183,Atlantic-Congo,0.20213788,0.052997013961112886,13.513254171744308
Kambera,0.94908,Austronesian,0.42213955,0.09077722866744745,5.804764672100637
Kankanaey_(Kankanai),0.88654,Austronesian,0.10427694,0.05243603487860414,14.918425121408113
Kankanay,0,Austronesian,0,0,NA
Kaonde,0,Atlantic-Congo,0,0,NA
Kapingamarangi,0,Austronesian,0,0,NA
Kapingamarangi,3.7e-4,Austronesian,0.02920578,0.03133265333732138,-0.9203108236496758
Karajarri,1.09614,Pama-Nyungan,0.27125356,0.0844606128171223,9.766522080369922
Karitiana,0.81128,Tupian,0.55455443,0.16367841246047288,1.5684754399850822
Kariyarra,0.95048,Pama-Nyungan,0.5023161,0.10623804630297129,4.218487779057225
Karok,0,Other,0,0,NA
Kartujarra,0.98418,Pama-Nyungan,0.29100366,0.08973173589110171,7.724985292173972
Karuwali,0,Pama-Nyungan,0,0,NA
Kashaya,0.35876,Other,0.39744881,0.11691138940178479,-0.33092421703277897
Kashmiri,2.25163,Indo-European,0.80808552,0.11630947614261776,12.411237053719828
Kaure,0,Other,0,0,NA
Kaurna,1.12193,Pama-Nyungan,0.22184868,0.08654654346444601,10.399968432820895
Kawaiisu,0,Uto-Aztecan,0,0,NA
Kayabí,0.91829,Tupian,0.3866673,0.03225816552367715,16.480252096474445
Kayardild,0,Other,0,0,NA
