language,family,code,average_edit_distance,sample_mean,sd,z
Central_Subanen_(Subanung),Austronesian,cent2089,4.5,4.5,0.0,0.0
Central_Tagbanwa,Austronesian,cent2090,10.131578947368421,10.382552631578948,0.07843480325628543,3.1997745106910127
Chamarro,Austronesian,cham1312,5.3478260869565215,5.309260869565217,0.08782513248847809,-0.43911368304925336
Cheke_Holo,Austronesian,chek1238,4.428571428571429,4.428571428571429,0.0,0.0
Chuukese_(Trukese),Austronesian,chuu1238,10.928571428571429,10.928571428571429,0.0,0.0
Colloquial_Malay,Austronesian,mala1479,6.583333333333333,6.583333333333333,0.0,0.0
Cotabato_Manobo,Austronesian,cota1241,13.357142857142858,13.357142857142858,0.0,0.0
Daakie,Austronesian,port1286,10.5625,10.377,0.31590967684438526,-0.587193155502404
Dakaka,Austronesian,daka1243,6.666666666666667,6.1245,0.18487143090397445,-2.9326687418148336
Dampelas,Austronesian,damp1237,20.608695652173914,23.937195652173912,0.5460052142610343,6.09609562887564
Dehu,Austronesian,dehu1237,9.5,9.5,0.0,0.0
Dobu,Austronesian,dobu1241,5.769230769230769,6.064076923076923,0.1013765564629373,2.908425420367758
Dondo,Austronesian,dond1249,25.0,26.97354347826087,0.3499074843862046,5.640186524511726
Dupaningan_Agat,Austronesian,dupa1235,4.857142857142857,4.857142857142857,0.0,0.0
Easter_Islanders,Austronesian,rapa1244,11.5,11.5,0.0,0.0
East_Ambae_(Lolovoli),Austronesian,east2443,4.0,4.0,0.0,0.0
East_Futuna,Austronesian,east2447,7.543478260869565,7.4593043478260865,0.2546085497471394,-0.3306012823492177
Ellice,Austronesian,tuva1244,10.625,10.298729166666666,0.11686654482663712,-2.791824074351925
Emae_(Mae),Austronesian,emae1237,3.0,3.0,0.0,0.0
Emau_(Emao_Island),Austronesian,emau1237,8.368421052631579,9.116894736842106,0.2800399134070418,2.67273930742369
Fijian,Austronesian,fiji1243,8.630434782608695,9.344,0.30448537357759053,2.343512297510966
Fordata,Austronesian,ford1242,1.4166666666666667,1.4899791666666666,0.16256479414354702,0.45097402784064006
Fortsenal_(Kiai),Austronesian,fort1240,11.727272727272727,11.242727272727272,0.14642274905089514,-3.3092224923125233
Futuna-Aniwa,Austronesian,futu1245,10.233333333333333,10.453633333333334,0.10821099583507934,2.0358374701195188
Ga'dang,Austronesian,gada1258,7.130434782608695,7.446130434782608,0.05670672204680111,5.56716454027026
Gane_(Gimán),Austronesian,gane1237,12.022727272727273,13.58084090909091,0.34573416103413,4.506681178692733
Gayo,Austronesian,gayo1244,12.642857142857142,12.642857142857142,0.0,0.0
Gela,Austronesian,gela1263,3.6666666666666665,3.8857,0.069484645020835,3.1522551963481455
Hanunoo,Austronesian,hanu1241,7.065217391304348,5.655195652173913,0.2350990556965933,-5.997564451939509
Hawaiians,Austronesian,hawa1245,5.166666666666667,5.503208333333333,0.15142998519254836,2.2224242196071153
Hiligaynon,Austronesian,hili1240,5.586956521739131,6.149152173913044,0.09388770625229513,5.987958110971211
Hiw,Austronesian,hiww1237,7.142857142857143,7.142857142857143,0.0,0.0
Ibaloi_(Nabaloi),Austronesian,ibal1244,7.021739130434782,8.460934782608696,0.23398378459827762,6.1508350018563975
Ibanag,Austronesian,iban1267,6.630434782608695,7.19195652173913,0.11675743914793076,4.809301601921839
Iban,Austronesian,iban1264,7.282608695652174,7.720130434782608,0.07515603200997216,5.8215119589121125
Ida'an,Austronesian,idaa1241,3.1956521739130435,3.472413043478261,0.049082974078528956,5.638632840838486
