language,family,code,correlation,mean,sd,z
Kalkatungu,Pama-Nyungan,kalk1246,-0.015472519108523307,0.00022593179221661324,0.015939321779061436,-0.984888260513196
Karajarri,Pama-Nyungan,kara1476,-0.0836496708035046,-0.0005415566258485209,0.021253464877371654,-3.910332487299068
Kariyarra,Pama-Nyungan,kari1304,-0.0108625864362643,-0.00020732684801766206,0.017194803620336128,-0.6196790509223824
Kartujarra,Pama-Nyungan,kart1247,-0.08982622887960609,0.0005737679013252515,0.019706665492827045,-4.587280218149321
Karuwali,Pama-Nyungan,karr1236,-0.24349237677883692,-0.003250623229997482,0.1587418313543696,-1.5134117547915416
Kaurna,Pama-Nyungan,kaur1267,-0.05866883341314122,5.3506899447909815e-05,0.017732811181258364,-3.311507674240179
Kukatja,Pama-Nyungan,kuka1246,-0.12056860419555407,-0.000799062393058844,0.01703128853907352,-7.032324156080003
Kuku-Yalanji,Pama-Nyungan,kuku1273,0.001853946865746991,-0.0002617102377973098,0.016807407541449017,0.12587646835639849
Kunjen,Pama-Nyungan,kunj1248,-0.05500661115450628,-0.0015984532972647724,0.045397457170287085,-1.1764570349591623
Kuuku_Ya'u,Pama-Nyungan,kuuk1238,-0.04129415359322155,0.0006192091859674405,0.026201612833714187,-1.5996481989558349
Malgana,Pama-Nyungan,malg1242,-0.07149672745646893,0.001607342473601591,0.06633830639844158,-1.101988788965946
Malgana,Pama-Nyungan,malg1242a,-0.21581767328763943,-0.0004883185210224334,0.12043468985915876,-1.7879346475540554
Margany,Pama-Nyungan,marg1253,0.041157996456460386,-0.0010293496876292107,0.03581164068354833,1.1780344418419855
MartuWangka,Pama-Nyungan,mart1256,-0.07207146283223409,-0.0004984952963890927,0.01673457034813837,-4.2769528017077
Mudburra,Pama-Nyungan,mudb1240,-0.09927492061116458,0.00029726803770834296,0.02803985628596368,-3.551094828496579
Muruwari,Pama-Nyungan,muru1266,0.0007783162492341687,0.0003777077908772701,0.025074416210313484,0.01597678107425378
Ngaanyatjarra,Pama-Nyungan,ngaa1240,-0.0671833433828947,0.0003750100434769448,0.022692965737990272,-2.977061447427837
Ngadjumaya,Pama-Nyungan,ngad1258,-0.16672008705670702,0.0008370003370875372,0.041805425400364866,-4.008022542268692
Ngarinyman,Pama-Nyungan,ngar1235,-0.10837972412807245,-0.0002806693061934194,0.02276074515848137,-4.749363611305052
Ngarla,Pama-Nyungan,ngar1286,-0.1436381052694079,0.00387729612730473,0.08695043566435375,-1.6965458570690997
Ngarluma,Pama-Nyungan,ngar1287,-0.07848200605430262,0.0010228785436940191,0.05009582041337832,-1.587056244252355
Ngarrindjeri,Pama-Nyungan,narr1259,-0.12849535476878138,-0.00011482381270155407,0.040251692100212955,-3.1894443253827984
Ngiyambaa,Pama-Nyungan,wang1291,-0.04415904680127709,0.00014248760127363568,0.017160189087814155,-2.5816460515583866
Nhanta,Pama-Nyungan,nhan1238,-0.05215129267359835,-0.0009819899743740766,0.018023781634346304,-2.838988162268651
Nyamal,Pama-Nyungan,nyam1271,-0.045162614403288594,-0.00024149663785262793,0.02317540071715038,-1.9383102934739425
Nyangumarta,Pama-Nyungan,nyan1301,-0.09142867297992902,-0.0013607881438921848,0.024165407682981102,-3.7271411274169672
Nyawaygi,Pama-Nyungan,nyaw1247,-0.09860533985336811,0.0023007111198530645,0.054975943514478695,-1.8354582845248693
Paakantyi,Pama-Nyungan,darl1243,-0.085271427279909,0.0012074789838644752,0.028621503821964035,-3.021466195546646
Payungu,Pama-Nyungan,bayu1240,-0.038774023455116366,0.0009065296369535496,0.022465205599390366,-1.7663115931218862
PintupiLuritja,Pama-Nyungan,pint1250,-0.07759655363481441,-0.0005113248480829147,0.02312889940053432,-3.332853304076833
Pirriya,Pama-Nyungan,pirr1240,-0.02746818750039608,-0.0010526794491837244,0.08302024358555789,-0.3181815291109019
Pitjantjatjara,Pama-Nyungan,pitj1243,-0.12755226980218481,0.0004514031564217462,0.02795369162790143,-4.579133041263223
Pitta_Pitta,Pama-Nyungan,pitt1247,-0.04848102538226228,-0.0002031276157212355,0.01644783210491491,-2.9352134347306924
Ritharrngu,Pama-Nyungan,rita1239,-0.012049797914332984,0.0010843242944398681,0.019536647456220118,-0.6722812723219399
Thayore_(Kuuk_Thaayorre),Pama-Nyungan,thay1249,0.046863388768409356,0.00039112324689531425,0.023937764866102298,1.9413786450598116
Umpila,Pama-Nyungan,umpi1239,0.014727734881742735,-0.0006326972323348777,0.02873976701376596,0.5344661321269645
Uradhi_(Atampaya),Pama-Nyungan,atam1239,-0.154818517968767,-0.0003307276280943736,0.052145115979801114,-2.9626511982544037
Wajarri,Pama-Nyungan,waja1257,-0.18813945598954881,0.0016492675691252806,0.030993626747161808,-6.1234758070400295
Wakaya,Pama-Nyungan,waga1260,-0.08698272010906453,0.0006996195305945546,0.023511633669364505,-3.7293171913404115
